,p0,p1,p2
Genetic 5,309.0,1456.0,13474183.0
Memetic 5,284.0,1453.0,13424474.0
Genetic 16,309.0,1456.0,13365178.0
Memetic 16,309.0,1456.0,13405920.0
Genetic 25,309.0,1453.0,13518963.0
Memetic 25,309.0,1456.0,13433680.0
Genetic 40,309.0,1455.0,13473708.0
Memetic 40,284.0,1458.0,13391617.0
Best Solution,309.0,1458.0,13549094.0
