learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.599826927,-2.793161789886653E-12,10000.0,80.19,70.29707527850165,70.4988830975428,69.95298043379341,10000.0,-18.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.809500496,-4.149229346205377E-12,20000.0,79.78,69.65886821801334,69.66241560390097,69.27518614192371,20000.0,-25.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.961529439,-5.1324792532250285E-12,30000.0,79.51,69.26168369428432,69.28956834532374,68.94513488936043,30000.0,-25.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,1.165112807,-7.186498606267075E-12,40000.0,79.625,69.43290299517702,69.46879448565221,69.15332500662352,40000.0,-39.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
50000.0,1.307683326,-8.883120986736483E-12,50000.0,80.12599999999999,70.18463641420391,70.17886081267632,69.95979322228604,50000.0,-46.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
60000.0,1.539761759,-1.2485452382307914E-11,60000.0,80.43833333333333,70.65512438559463,70.7109525116662,70.45139850456937,60000.0,-60.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
70000.0,1.759480851,-1.6691722363854448E-11,70000.0,80.59285714285714,70.8859833589112,70.90632629459888,70.69482494553142,70000.0,-74.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
80000.0,1.922354438,-2.0104698952442655E-11,80000.0,80.76625,71.150501741947,71.16055028676386,71.03623529411765,80000.0,-81.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
90000.0,2.062288984,-2.329040165964721E-11,90000.0,81.02555555555556,71.5375329055087,71.55540009327736,71.4106341659412,90000.0,-88.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
100000.0,2.195529304,-2.6564991436640006E-11,100000.0,81.193,71.7899639309692,71.79767867318478,71.6540061493941,100000.0,-95.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
110000.0,2.324147457,-2.972598421232154E-11,110000.0,81.35636363636364,72.0334584459235,72.046616233899,71.8748714291592,110000.0,-95.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
120000.0,2.463177996,-3.389819099723051E-11,120000.0,81.49166666666666,72.23632145498215,72.25588047918254,72.06816323964031,120000.0,-116.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
130000.0,2.58396435,-3.7522902872102955E-11,130000.0,81.56923076923077,72.354913573164,72.36702495732806,72.20997935465913,130000.0,-116.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
140000.0,2.709970252,-4.1988803796056245E-11,140000.0,81.67214285714286,72.50875152922968,72.52254181748089,72.3749232905914,140000.0,-137.0,39.0,20.0,20.0,6.0,0.0,0.0,1.0
150000.0,2.828979812,-4.6422255388978454E-11,150000.0,81.774,72.66230169726228,72.69540379122307,72.527759634226,150000.0,-144.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
160000.0,2.957239875,-5.189711544326403E-11,160000.0,81.90875,72.86453769866688,72.88786482334868,72.7374617376972,160000.0,-165.0,47.0,24.0,24.0,6.0,0.0,0.0,1.0
170000.0,3.091586005,-5.860491534617419E-11,170000.0,81.96823529411765,72.95372559294648,72.97683275150746,72.8321752694271,170000.0,-193.0,55.0,28.0,28.0,6.0,0.0,0.0,1.0
180000.0,3.210801853,-6.477316037363684E-11,180000.0,82.05277777777778,73.07996700672533,73.09620573636697,72.97760750821838,180000.0,-200.0,57.0,29.0,29.0,6.0,0.0,0.0,1.0
190000.0,3.329269834,-7.090271065554893E-11,190000.0,82.15947368421052,73.24000102669267,73.25785965050689,73.14216894199305,190000.0,-200.0,57.0,29.0,29.0,6.0,0.0,0.0,1.0
200000.0,3.455726456,-7.813259715498944E-11,200000.0,82.206,73.30963546755285,73.33533136028173,73.21854563789199,200000.0,-221.0,63.0,32.0,32.0,6.0,0.0,0.0,1.0
210000.0,3.576175526,-8.523713656054397E-11,210000.0,82.26285714285714,73.39506872637082,73.40720221606648,73.30275229357798,210000.0,-228.0,65.0,33.0,33.0,7.0,0.0,0.0,1.0
220000.0,3.679204298,-9.150073655544677E-11,220000.0,82.3259090909091,73.4899585569435,73.50518203560988,73.392593200854,220000.0,-235.0,67.0,34.0,34.0,7.0,0.0,0.0,1.0
230000.0,3.791257933,-9.892175556652042E-11,230000.0,82.38347826086957,73.57539280474029,73.58739015931789,73.49946041400962,230000.0,-256.0,73.0,37.0,37.0,7.0,0.0,0.0,1.0
240000.0,3.899046308,-1.062554920775195E-10,240000.0,82.4275,73.64136922338183,73.64372090116552,73.55862068965517,240000.0,-263.0,75.0,38.0,38.0,8.0,0.0,0.0,1.0
250000.0,3.999298141,-1.1307645517272047E-10,250000.0,82.4688,73.70265768568785,73.71523842080326,73.6112616355382,250000.0,-263.0,75.0,38.0,38.0,8.0,0.0,0.0,1.0
260000.0,4.109413796,-1.207679448217257E-10,260000.0,82.54038461538461,73.80933304771669,73.82457071027412,73.72411916903503,260000.0,-270.0,77.0,39.0,39.0,8.0,0.0,0.0,1.0
270000.0,4.213432288,-1.2822192016290502E-10,270000.0,82.56740740740742,73.85005309017787,73.8593889712702,73.76204784016858,270000.0,-277.0,79.0,40.0,40.0,8.0,0.0,0.0,1.0
280000.0,4.315426081,-1.3553080537511657E-10,280000.0,82.63142857142857,73.94631459087697,73.95542131251138,73.85854198694861,280000.0,-277.0,79.0,40.0,40.0,8.0,0.0,0.0,1.0
290000.0,4.420156429,-1.4303579238709062E-10,290000.0,82.6848275862069,74.02644213988896,74.04451520195181,73.94350118311263,290000.0,-277.0,79.0,40.0,40.0,8.0,0.0,0.0,1.0
300000.0,4.541770079,-1.5219110001189013E-10,300000.0,82.74333333333334,74.11451674693312,74.12871178275515,74.04088673161877,300000.0,-291.0,83.0,42.0,42.0,8.0,0.0,0.0,1.0
310000.0,4.666831027,-1.6228534729840856E-10,310000.0,82.76774193548387,74.15095823535806,74.1579067033674,74.07865686488584,310000.0,-312.0,89.0,45.0,45.0,8.0,0.0,0.0,1.0
320000.0,4.776570152,-1.7134162654660436E-10,320000.0,82.809375,74.21333653176518,74.21317607792767,74.14190224595511,320000.0,-319.0,91.0,46.0,46.0,8.0,0.0,0.0,1.0
330000.0,4.883041259,-1.8032101994406225E-10,330000.0,82.85,74.27445670062107,74.28037773919999,74.2010037881378,330000.0,-326.0,93.0,47.0,47.0,8.0,0.0,0.0,1.0
340000.0,5.000208561,-1.9105120769106885E-10,340000.0,82.86617647058824,74.29863468182228,74.29714800042356,74.22698656378992,340000.0,-354.0,101.0,51.0,51.0,8.0,0.0,0.0,1.0
350000.0,5.108016368,-2.015099414805364E-10,350000.0,82.88942857142857,74.33354690074935,74.32288160664748,74.26727453196233,350000.0,-375.0,107.0,54.0,54.0,9.0,0.0,0.0,1.0
360000.0,5.221471075,-2.1272195236757394E-10,360000.0,82.9225,74.38313332107685,74.3726448127522,74.3214795880009,360000.0,-382.0,109.0,55.0,55.0,9.0,0.0,0.0,1.0
370000.0,5.336515626,-2.2429941223184057E-10,370000.0,82.9418918918919,74.41191208025563,74.3980302120686,74.34558166002765,370000.0,-389.0,111.0,56.0,56.0,9.0,0.0,0.0,1.0
380000.0,5.460894306,-2.370414462051768E-10,380000.0,82.97473684210527,74.46131729929182,74.4481526096487,74.39465539486912,380000.0,-396.0,113.0,57.0,57.0,9.0,0.0,0.0,1.0
390000.0,5.577441541,-2.4898118401127345E-10,390000.0,83.00384615384615,74.50519705196265,74.4923286500964,74.44108551642232,390000.0,-396.0,113.0,57.0,57.0,9.0,0.0,0.0,1.0
400000.0,5.698358155,-2.624633874684675E-10,400000.0,83.01425,74.52074137940794,74.51060573092133,74.45300485424116,400000.0,-431.0,123.0,62.0,62.0,9.0,0.0,0.0,1.0
410000.0,5.808934917,-2.751931853662244E-10,410000.0,83.03487804878048,74.55141177711363,74.54287931135445,74.48301668066811,410000.0,-445.0,127.0,64.0,64.0,9.0,0.0,0.0,1.0
420000.0,5.909104537,-2.86906291820471E-10,420000.0,83.07214285714286,74.60750538880269,74.60041298398795,74.54284394570344,420000.0,-452.0,129.0,65.0,65.0,9.0,0.0,0.0,1.0
430000.0,6.01910865,-3.00366993319864E-10,430000.0,83.09488372093024,74.64181473711888,74.63775447900494,74.58579374818638,430000.0,-473.0,135.0,68.0,68.0,9.0,0.0,0.0,1.0
440000.0,6.117474859,-3.1258174945600323E-10,440000.0,83.12590909090909,74.68839255793223,74.68201627258281,74.63210296675173,440000.0,-480.0,137.0,69.0,69.0,9.0,0.0,0.0,1.0
450000.0,6.218904247,-3.2554423793219024E-10,450000.0,83.14888888888889,74.72266853277515,74.71541082872633,74.65998329156224,450000.0,-494.0,141.0,71.0,71.0,9.0,0.0,0.0,1.0
460000.0,6.331499311,-3.4074927504174405E-10,460000.0,83.15130434782608,74.72638737156846,74.72533564652515,74.66783896767782,460000.0,-522.0,149.0,75.0,75.0,10.0,0.0,0.0,1.0
470000.0,6.431744015,-3.544680312720851E-10,470000.0,83.15787234042553,74.7363355754121,74.73565280113878,74.6785152201451,470000.0,-529.0,151.0,76.0,76.0,10.0,0.0,0.0,1.0
480000.0,6.534375567,-3.6869929003529246E-10,480000.0,83.1675,74.75103625568646,74.75511562292026,74.69684822368092,480000.0,-536.0,153.0,77.0,77.0,10.0,0.0,0.0,1.0
490000.0,6.636651558,-3.8306645754026244E-10,490000.0,83.18632653061225,74.77922989940141,74.77943832538433,74.72589838453374,490000.0,-543.0,155.0,78.0,78.0,10.0,0.0,0.0,1.0
500000.0,6.736135946,-3.9722163281843267E-10,500000.0,83.21260000000001,74.81863482561953,74.82529437522871,74.7648210114275,500000.0,-550.0,157.0,79.0,79.0,10.0,0.0,0.0,1.0
510000.0,6.84215137,-4.123060791228069E-10,510000.0,83.23274509803922,74.84871465747091,74.85481229251023,74.7953724854469,510000.0,-550.0,157.0,79.0,79.0,10.0,0.0,0.0,1.0
520000.0,6.941214905,-4.2640137316633215E-10,520000.0,83.2651923076923,74.89747266868108,74.90497915020504,74.84469625796754,520000.0,-550.0,157.0,79.0,79.0,10.0,0.0,0.0,1.0
530000.0,7.050404252,-4.4253061695852207E-10,530000.0,83.29433962264152,74.94128772635865,74.949426360537,74.89039005825066,530000.0,-571.0,163.0,82.0,82.0,10.0,0.0,0.0,1.0
540000.0,7.150672302,-4.5752359954743744E-10,540000.0,83.30018518518519,74.95010261714347,74.95758181641466,74.90601477606333,540000.0,-578.0,165.0,83.0,83.0,10.0,0.0,0.0,1.0
550000.0,7.259288969,-4.739616370653837E-10,550000.0,83.31163636363637,74.9671540524131,74.96945698889543,74.92158384244637,550000.0,-585.0,167.0,84.0,84.0,10.0,0.0,0.0,1.0
560000.0,7.376152437,-4.92282630691253E-10,560000.0,83.31910714285713,74.97843808302363,74.98071586976783,74.93143332528246,560000.0,-606.0,173.0,87.0,87.0,10.0,0.0,0.0,1.0
570000.0,7.485478249,-5.102138407774166E-10,570000.0,83.34087719298246,75.01105787994035,75.01499778979938,74.9647370238839,570000.0,-634.0,181.0,91.0,91.0,10.0,0.0,0.0,1.0
580000.0,7.599457933,-5.297339870343502E-10,580000.0,83.35155172413793,75.02698224693482,75.02960936328232,74.98063195533041,580000.0,-662.0,189.0,95.0,95.0,10.0,0.0,0.0,1.0
590000.0,7.704825684,-5.479700657233802E-10,590000.0,83.37271186440678,75.05859419664368,75.0612023886091,75.0054141644734,590000.0,-669.0,191.0,96.0,96.0,10.0,0.0,0.0,1.0
600000.0,7.812804847,-5.668536435269439E-10,600000.0,83.39016666666666,75.08495019045782,75.08419107812082,75.03650878339958,600000.0,-676.0,193.0,97.0,97.0,10.0,0.0,0.0,1.0
610000.0,7.920532061,-5.85888243816379E-10,610000.0,83.41475409836066,75.12207643787147,75.12105034071152,75.07526447270524,610000.0,-683.0,195.0,98.0,98.0,10.0,0.0,0.0,1.0
620000.0,8.024210366,-6.043951834557163E-10,620000.0,83.43532258064516,75.15296476033987,75.14839434056773,75.10514157449357,620000.0,-690.0,197.0,99.0,99.0,10.0,0.0,0.0,1.0
630000.0,8.118911368,-6.214711376662468E-10,630000.0,83.4468253968254,75.17023535073271,75.16142631552623,75.12528593338914,630000.0,-697.0,199.0,100.0,100.0,10.0,0.0,0.0,1.0
640000.0,8.222039804,-6.40626946972269E-10,640000.0,83.45859375,75.1879136696492,75.17336316328851,75.14748587351781,640000.0,-718.0,205.0,103.0,103.0,11.0,0.0,0.0,1.0
650000.0,8.327455598,-6.603985244134026E-10,650000.0,83.46676923076923,75.19998340632289,75.18845424804158,75.15713747419571,650000.0,-725.0,207.0,104.0,104.0,11.0,0.0,0.0,1.0
660000.0,8.439712981,-6.816565841876175E-10,660000.0,83.47015151515151,75.20498584715806,75.19372618213899,75.16424828239322,660000.0,-732.0,209.0,105.0,105.0,11.0,0.0,0.0,1.0
670000.0,8.545411118,-7.016725266078071E-10,670000.0,83.47805970149254,75.21685130527162,75.21055919955033,75.17626005758726,670000.0,-732.0,209.0,105.0,105.0,11.0,0.0,0.0,1.0
680000.0,8.67196213,-7.258665273799041E-10,680000.0,83.49926470588235,75.24861655255646,75.24270773575746,75.21109397713865,680000.0,-739.0,211.0,106.0,106.0,11.0,0.0,0.0,1.0
690000.0,8.796889694,-7.502026215438832E-10,690000.0,83.51884057971014,75.27798742323182,75.27132608927283,75.24026005129612,690000.0,-753.0,215.0,108.0,108.0,11.0,0.0,0.0,1.0
700000.0,8.902402939,-7.711389234830209E-10,700000.0,83.52714285714285,75.29042306133836,75.2825751908307,75.25483379471663,700000.0,-767.0,219.0,110.0,110.0,11.0,0.0,0.0,1.0
710000.0,9.007288849,-7.921406858675697E-10,710000.0,83.53647887323945,75.30452324410454,75.29739450921717,75.26985228469997,710000.0,-774.0,221.0,111.0,111.0,11.0,0.0,0.0,1.0
720000.0,9.131444234,-8.176753599465719E-10,720000.0,83.55319444444444,75.32966334001296,75.32321118965058,75.29912140908294,720000.0,-795.0,227.0,114.0,114.0,11.0,0.0,0.0,1.0
730000.0,9.240486255,-8.401017127556E-10,730000.0,83.56589041095891,75.34882698357815,75.34718083816587,75.31974334129477,730000.0,-795.0,227.0,114.0,114.0,11.0,0.0,0.0,1.0
740000.0,9.356828977,-8.646616361908509E-10,740000.0,83.57148648648649,75.35718950538177,75.35896126218158,75.32985920866258,740000.0,-816.0,233.0,117.0,117.0,11.0,0.0,0.0,1.0
750000.0,9.467275891,-8.88176964702757E-10,750000.0,83.58053333333334,75.37067441368958,75.37257317473141,75.34056753579888,750000.0,-823.0,235.0,118.0,118.0,11.0,0.0,0.0,1.0
760000.0,9.574888135,-9.112836372244376E-10,760000.0,83.59631578947369,75.39429392606608,75.39720912609059,75.36166579708771,760000.0,-830.0,237.0,119.0,119.0,11.0,0.0,0.0,1.0
770000.0,9.689280855,-9.360533787074704E-10,770000.0,83.60428571428571,75.40633675698697,75.40799351729565,75.37331047141967,770000.0,-837.0,239.0,120.0,120.0,11.0,0.0,0.0,1.0
780000.0,9.802365321,-9.607446259086845E-10,780000.0,83.61115384615384,75.41660330250058,75.41781805804743,75.38036946875384,780000.0,-844.0,241.0,121.0,121.0,11.0,0.0,0.0,1.0
790000.0,9.895670264,-9.811171447364094E-10,790000.0,83.61746835443039,75.42618928419203,75.42579814604544,75.39150143366722,790000.0,-844.0,241.0,121.0,121.0,11.0,0.0,0.0,1.0
800000.0,10.013556183,-1.0079241585322756E-9,800000.0,83.626875,75.44037189642447,75.4393761262148,75.4090820341834,800000.0,-879.0,251.0,126.0,126.0,11.0,0.0,0.0,1.0
810000.0,10.122997365,-1.033405419379576E-9,810000.0,83.63987654320988,75.45987560071417,75.45622415131102,75.42577496235526,810000.0,-900.0,257.0,129.0,129.0,11.0,0.0,0.0,1.0
820000.0,10.225783259,-1.0575232607281455E-9,820000.0,83.64170731707317,75.46255338323331,75.45669452698449,75.42724513218081,820000.0,-907.0,259.0,130.0,130.0,11.0,0.0,0.0,1.0
830000.0,10.340933856,-1.0849594287225044E-9,830000.0,83.64807228915663,75.47220871195485,75.46805918567281,75.43871396229693,830000.0,-921.0,263.0,132.0,132.0,11.0,0.0,0.0,1.0
840000.0,10.439216147,-1.1085544773669809E-9,840000.0,83.65880952380952,75.48823862510126,75.48392397240946,75.45437639030949,840000.0,-928.0,265.0,133.0,133.0,11.0,0.0,0.0,1.0
850000.0,10.538735871,-1.132626822594191E-9,850000.0,83.6615294117647,75.4924221617021,75.4885020447281,75.45818098922207,850000.0,-935.0,267.0,134.0,134.0,11.0,0.0,0.0,1.0
860000.0,10.651413558,-1.16049402968363E-9,860000.0,83.66627906976744,75.49951969742258,75.494831009061,75.4643554568098,860000.0,-956.0,273.0,137.0,137.0,12.0,0.0,0.0,1.0
870000.0,10.747221633,-1.184189080034331E-9,870000.0,83.67390804597702,75.5110626120089,75.5041468264576,75.47695261378664,870000.0,-956.0,273.0,137.0,137.0,12.0,0.0,0.0,1.0
880000.0,10.845876555,-1.2085882065602992E-9,880000.0,83.67579545454545,75.51377431909609,75.50769535039547,75.47914106240611,880000.0,-956.0,273.0,137.0,137.0,12.0,0.0,0.0,1.0
890000.0,10.940560763,-1.232005304502996E-9,890000.0,83.6903370786517,75.53558293826028,75.52934671198146,75.50113839470312,890000.0,-956.0,273.0,137.0,137.0,12.0,0.0,0.0,1.0
900000.0,11.051300641,-1.2595937961709894E-9,900000.0,83.70611111111111,75.5592742114272,75.55338096682883,75.52669875367988,900000.0,-963.0,275.0,138.0,138.0,12.0,0.0,0.0,1.0
910000.0,11.154948043,-1.2854153478841506E-9,910000.0,83.71098901098901,75.56654763970553,75.56053478951196,75.53588993708617,910000.0,-963.0,275.0,138.0,138.0,12.0,0.0,0.0,1.0
920000.0,11.258593202,-1.3114240323387398E-9,920000.0,83.7204347826087,75.5806644381089,75.57510347459369,75.54842659483289,920000.0,-970.0,277.0,139.0,139.0,12.0,0.0,0.0,1.0
930000.0,11.367187711,-1.3390680138464087E-9,930000.0,83.72989247311828,75.59494383807571,75.58775128263045,75.56389945334013,930000.0,-984.0,281.0,141.0,141.0,12.0,0.0,0.0,1.0
940000.0,11.475129802,-1.3667413877199095E-9,940000.0,83.73840425531915,75.60767689822826,75.59932572862493,75.57554278702041,940000.0,-991.0,283.0,142.0,142.0,12.0,0.0,0.0,1.0
950000.0,11.58061551,-1.3939760373636254E-9,950000.0,83.74568421052632,75.61845255751561,75.61208277134276,75.5859785703783,950000.0,-998.0,285.0,143.0,143.0,12.0,0.0,0.0,1.0
960000.0,11.690990338,-1.4230726111959667E-9,960000.0,83.75239583333334,75.62852108852212,75.62185166835204,75.59637333667108,960000.0,-1019.0,291.0,146.0,146.0,12.0,0.0,0.0,1.0
970000.0,11.797025449,-1.4514092050935141E-9,970000.0,83.7659793814433,75.64893070239546,75.64517775447518,75.61742254153569,970000.0,-1033.0,295.0,148.0,148.0,12.0,0.0,0.0,1.0
980000.0,11.908387154,-1.481975928335968E-9,980000.0,83.77295918367346,75.65940601003952,75.65577472119529,75.62809102932904,980000.0,-1061.0,303.0,152.0,152.0,12.0,0.0,0.0,1.0
990000.0,12.01610951,-1.511933867663352E-9,990000.0,83.78050505050506,75.67061414062331,75.66758698860761,75.63746210730422,990000.0,-1075.0,307.0,154.0,154.0,12.0,0.0,0.0,1.0
1000000.0,12.11962021,-1.5409079797348627E-9,1000000.0,83.7851,75.67749801500895,75.67434171047262,75.64401438386413,1000000.0,-1082.0,309.0,155.0,155.0,12.0,0.0,0.0,-Infinity
