learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.1,0.0,10000.0,73.21,43.46543583527444,45.259501430322835,36.00095556617295,10000.0,0.0
20000.0,0.16,0.0,20000.0,73.53,43.89992959727281,45.17966242104172,36.66706543844957,20000.0,0.0
30000.0,0.22,0.0,30000.0,73.56333333333333,44.15534219248873,45.25058677343643,37.24481721791423,30000.0,0.0
40000.0,0.29,0.0,40000.0,73.705,44.38272487987643,45.9173179761415,37.4114846771794,40000.0,0.0
50000.0,0.35,0.0,50000.0,73.79,44.60413670555721,46.15194970620865,37.619002284843866,50000.0,0.0
60000.0,0.42,0.0,60000.0,73.66166666666668,44.37782430897938,45.90422072365043,37.45101919651693,60000.0,0.0
70000.0,0.46,0.0,70000.0,73.74000000000001,44.59630583113371,46.19167496048242,37.73878878200787,70000.0,0.0
80000.0,0.51,0.0,80000.0,73.74125000000001,44.64724571353232,46.29426051386937,37.84911242603551,80000.0,0.0
90000.0,0.55,0.0,90000.0,73.76333333333334,44.647571173960955,46.32067107686013,37.75569380008435,90000.0,0.0
100000.0,0.6,0.0,100000.0,73.85000000000001,44.800191181234304,46.3688754896532,37.84464727134437,100000.0,0.0
110000.0,0.65,0.0,110000.0,73.81545454545456,44.774052266014166,46.33714647687895,37.8844080224283,110000.0,0.0
120000.0,0.68,0.0,120000.0,73.84166666666667,44.8471985691781,46.35471852889908,37.9595224918966,120000.0,0.0
130000.0,0.72,0.0,130000.0,73.82923076923078,44.813539603206266,46.39418910614966,37.89565915811763,130000.0,0.0
140000.0,0.78,0.0,140000.0,73.86428571428571,44.880653195330304,46.47532950073873,37.94413445720198,140000.0,0.0
150000.0,0.82,0.0,150000.0,73.90066666666667,44.98935617976962,46.56958414652455,38.089665533328066,150000.0,0.0
160000.0,0.85,0.0,160000.0,73.880625,44.927874196641525,46.48765621798812,37.97162110012764,160000.0,0.0
170000.0,0.89,0.0,170000.0,73.85470588235295,44.87169462960416,46.39708631314899,37.93011953971623,170000.0,0.0
180000.0,0.94,0.0,180000.0,73.835,44.84418201197528,46.367932585549156,37.92653513107428,180000.0,0.0
190000.0,0.99,0.0,190000.0,73.8621052631579,44.90346436281237,46.43007389029718,38.00696550949333,190000.0,0.0
200000.0,1.04,0.0,200000.0,73.842,44.85549667554278,46.37501409403539,37.942896456828336,200000.0,0.0
210000.0,1.09,0.0,210000.0,73.85380952380952,44.87922948337022,46.398727010035536,37.971508941583146,210000.0,0.0
220000.0,1.11,0.0,220000.0,73.85818181818182,44.88570671993584,46.42421306603818,37.9636920620881,220000.0,0.0
