learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
310000.0,2.95,0.0,310000.0,91.8225806451613,83.1965871754476,83.25848632941486,80.61170639928412,310000.0,0.0,405.0,251.0,251.0,6.0,0.0,0.0,1.0
320000.0,3.03,0.0,320000.0,91.9009375,83.35682854413601,83.41449991360719,80.79041188286132,320000.0,0.0,426.0,266.0,266.0,6.0,0.0,0.0,1.0
330000.0,3.1,0.0,330000.0,91.97727272727273,83.51583038534433,83.57711776090517,80.97486310524728,330000.0,0.0,447.0,281.0,281.0,6.0,0.0,0.0,1.0
340000.0,3.18,0.0,340000.0,92.05264705882354,83.66827384281304,83.72601452679508,81.13875277463669,340000.0,0.0,453.0,284.0,284.0,6.0,0.0,0.0,1.0
350000.0,3.27,0.0,350000.0,92.12685714285715,83.8198137220487,83.87132647745696,81.30808156177505,350000.0,0.0,459.0,287.0,287.0,6.0,0.0,0.0,1.0
360000.0,3.33,0.0,360000.0,92.1925,83.95402920423774,84.00621383089502,81.45866179390597,360000.0,0.0,473.0,297.0,297.0,6.0,0.0,0.0,1.0
370000.0,3.4,0.0,370000.0,92.24297297297296,84.05831414723187,84.10286803070754,81.57783255025802,370000.0,0.0,479.0,300.0,300.0,7.0,0.0,0.0,1.0
380000.0,3.47,0.0,380000.0,92.31421052631579,84.20414027693809,84.24873260705425,81.74305503463106,380000.0,0.0,481.0,301.0,301.0,7.0,0.0,0.0,1.0
390000.0,3.55,0.0,390000.0,92.38871794871795,84.3583500396457,84.4039300162875,81.92457816505605,390000.0,0.0,481.0,301.0,301.0,7.0,0.0,0.0,1.0
400000.0,3.61,0.0,400000.0,92.4615,84.51048945175036,84.56032196290872,82.10699959649664,400000.0,0.0,485.0,303.0,303.0,7.0,0.0,0.0,1.0
410000.0,3.69,0.0,410000.0,92.52390243902438,84.63896051730484,84.6859449629289,82.2547963921405,410000.0,0.0,500.0,312.0,312.0,7.0,0.0,0.0,1.0
420000.0,3.76,0.0,420000.0,92.58047619047619,84.754660649276,84.79791204234456,82.38290414676202,420000.0,0.0,508.0,316.0,316.0,7.0,0.0,0.0,1.0
430000.0,3.84,0.0,430000.0,92.64348837209302,84.88596263843226,84.92546844322449,82.54076011965867,430000.0,0.0,522.0,326.0,326.0,7.0,0.0,0.0,1.0
440000.0,3.92,0.0,440000.0,92.69545454545455,84.99448813316242,85.03111144230412,82.66796809698172,440000.0,0.0,539.0,336.0,336.0,7.0,0.0,0.0,1.0
450000.0,4.0,0.0,450000.0,92.74888888888889,85.1042425200751,85.14346594789515,82.79262556162593,450000.0,0.0,550.0,343.0,343.0,7.0,0.0,0.0,1.0
460000.0,4.07,0.0,460000.0,92.79152173913043,85.19256602809183,85.23352749425533,82.89415309059768,460000.0,0.0,569.0,354.0,354.0,7.0,0.0,0.0,1.0
470000.0,4.15,0.0,470000.0,92.83808510638298,85.2879085058927,85.32298502256427,83.00327200016159,470000.0,0.0,591.0,368.0,368.0,7.0,0.0,0.0,1.0
480000.0,4.23,0.0,480000.0,92.88458333333334,85.38282588711071,85.41268926046939,83.1094714353537,480000.0,0.0,595.0,370.0,370.0,7.0,0.0,0.0,1.0
490000.0,4.3,0.0,490000.0,92.93959183673469,85.49620421047318,85.52196020171161,83.24072683586124,490000.0,0.0,607.0,379.0,379.0,7.0,0.0,0.0,1.0
500000.0,4.38,0.0,500000.0,92.9868,85.59348484161367,85.62073278248211,83.35374595307947,500000.0,0.0,622.0,388.0,388.0,7.0,0.0,0.0,1.0
510000.0,4.45,0.0,510000.0,93.02470588235295,85.67126311268444,85.69676695629099,83.44032063605853,510000.0,0.0,635.0,396.0,396.0,7.0,0.0,0.0,1.0
520000.0,4.52,0.0,520000.0,93.06442307692308,85.75369249241189,85.78074792516806,83.53782671012151,520000.0,0.0,645.0,404.0,404.0,7.0,0.0,0.0,1.0
530000.0,4.61,0.0,530000.0,93.11132075471698,85.85043410070844,85.87888562709584,83.65023779029673,530000.0,0.0,652.0,409.0,409.0,7.0,0.0,0.0,1.0
540000.0,4.67,0.0,540000.0,93.1511111111111,85.93263129474701,85.95857125501153,83.74558303886926,540000.0,0.0,670.0,421.0,421.0,7.0,0.0,0.0,1.0
550000.0,4.76,0.0,550000.0,93.19527272727272,86.02476914012065,86.04918161113201,83.85592580610374,550000.0,0.0,684.0,431.0,431.0,7.0,0.0,0.0,1.0
560000.0,4.84,0.0,560000.0,93.23392857142856,86.10484227781168,86.12799297063776,83.9486560335515,560000.0,0.0,692.0,435.0,435.0,7.0,0.0,0.0,1.0
570000.0,4.92,0.0,570000.0,93.27859649122807,86.19635736539072,86.21617634889854,84.05367607884924,570000.0,0.0,706.0,445.0,445.0,7.0,0.0,0.0,1.0
580000.0,5.0,0.0,580000.0,93.32189655172414,86.28336375741144,86.30592727465573,84.14810328104345,580000.0,0.0,719.0,453.0,453.0,7.0,0.0,0.0,1.0
590000.0,5.08,0.0,590000.0,93.36254237288135,86.36706713560214,86.3943994719105,84.24402628074368,590000.0,0.0,730.0,460.0,460.0,7.0,0.0,0.0,1.0
600000.0,5.16,0.0,600000.0,93.401,86.4466851666265,86.46997314087712,84.33725884228474,600000.0,0.0,741.0,467.0,467.0,7.0,0.0,0.0,1.0
610000.0,5.25,0.0,610000.0,93.44098360655738,86.5299107444458,86.5563668253739,84.43547979257681,610000.0,0.0,753.0,476.0,476.0,7.0,0.0,0.0,1.0
620000.0,5.32,0.0,620000.0,93.4782258064516,86.60621757594818,86.63376482566211,84.52219181228348,620000.0,0.0,763.0,481.0,481.0,8.0,0.0,0.0,1.0
630000.0,5.39,0.0,630000.0,93.51666666666667,86.68558794243022,86.71283856318436,84.61390681327623,630000.0,0.0,772.0,487.0,487.0,8.0,0.0,0.0,1.0
640000.0,5.47,0.0,640000.0,93.55125,86.75728502636564,86.78915527671968,84.69741125521864,640000.0,0.0,778.0,490.0,490.0,8.0,0.0,0.0,1.0
650000.0,5.55,0.0,650000.0,93.58815384615384,86.83321482401544,86.86449091510787,84.78525143743725,650000.0,0.0,790.0,499.0,499.0,8.0,0.0,0.0,1.0
660000.0,5.62,0.0,660000.0,93.61924242424242,86.89710106190749,86.92605723439527,84.85732161606282,660000.0,0.0,792.0,500.0,500.0,8.0,0.0,0.0,1.0
670000.0,5.7,0.0,670000.0,93.65447761194031,86.96987636983697,87.00045864546706,84.94111396440273,670000.0,0.0,794.0,501.0,501.0,8.0,0.0,0.0,1.0
680000.0,5.77,0.0,680000.0,93.68691176470588,87.03577168296471,87.0636166667169,85.01375429385317,680000.0,0.0,798.0,503.0,503.0,8.0,0.0,0.0,1.0
690000.0,5.84,0.0,690000.0,93.7163768115942,87.0972787008644,87.12395241234712,85.08772231527755,690000.0,0.0,812.0,513.0,513.0,8.0,0.0,0.0,1.0
700000.0,5.94,0.0,700000.0,93.74642857142858,87.15905630585678,87.18264041999363,85.15784726907782,700000.0,0.0,840.0,533.0,533.0,8.0,0.0,0.0,1.0
