Provincia, PoblacionTotal,Hombres,Mujeres,Mayores20,Mayores65,IncrPoblacion,Extranjeros,Nacimientos,Defunciones,MatrimoniosDistintoSexo,VehiculosParticulares
Sevilla,3302,0.50,0.50,21.32,16.38,6.41,0.01,0.01,0.01,15,1488
Sevilla,10645,0.51,0.49,22.23,15.33,9.25,0.07,0.01,0.01,43,4148
Sevilla,28595,0.50,0.50,21.28,16.06,5.05,0.03,0.01,0.01,102,13218
Sevilla,2548,0.48,0.52,20.37,18.88,12.4,0.03,0.01,0.01,10,1139
Sevilla,5593,0.51,0.49,21.21,16.31,3.31,0.05,0.01,0.01,18,2776
Sevilla,4868,0.50,0.50,19,18.73,-0.04,0.03,0.01,0.01,17,2267
Sevilla,2857,0.52,0.48,32.76,6.41,13.73,0.01,0.01,0.00,6,1298
Sevilla,17532,0.49,0.51,22.42,14.16,3.88,0.04,0.01,0.01,41,8633
Sevilla,635,0.51,0.49,18.11,19.53,-2.46,0.03,0.01,0.01,2,312
Sevilla,1480,0.51,0.49,16.15,23.24,-9.04,0.03,0.01,0.02,1,722
Sevilla,4933,0.49,0.51,19.26,19.3,-4.27,0.02,0.00,0.01,26,2125
Sevilla,6119,0.50,0.50,18.84,19.74,-9.44,0.01,0.01,0.01,11,2817
Sevilla,30418,0.50,0.50,23.35,13.52,14.79,0.04,0.01,0.01,132,13260
Sevilla,1337,0.50,0.50,18.47,27.08,-6.89,0.01,0.01,0.02,4,647
Sevilla,4855,0.50,0.50,19.57,19.63,-3.54,0.02,0.01,0.01,16,2292
Sevilla,3987,0.51,0.49,20.79,15.27,-2.47,0.02,0.01,0.01,16,1975
Sevilla,8681,0.51,0.49,22.23,12.75,4.58,0.04,0.01,0.01,46,3276
Sevilla,131855,0.49,0.51,24.81,11.83,14.98,0.02,0.01,0.01,486,63006
Sevilla,40270,0.49,0.51,22.56,14.85,2.48,0.02,0.01,0.01,153,18612
Sevilla,15198,0.50,0.50,29.73,8.29,65.61,0.05,0.01,0.01,63,6581
Sevilla,12615,0.50,0.50,22.69,14.49,2.59,0.04,0.01,0.01,47,6053
Sevilla,7166,0.50,0.50,19.59,19.62,-2.54,0.02,0.01,0.01,32,3542
Sevilla,770,0.50,0.50,17.79,18.57,-5.17,0.02,0.01,0.02,3,357
Sevilla,9951,0.50,0.50,25.81,9.83,19.53,0.03,0.01,0.01,46,4674
Sevilla,7444,0.50,0.50,22.97,14.52,26.45,0.02,0.01,0.01,38,3053
Sevilla,3825,0.51,0.49,20.94,16.21,-1.87,0.04,0.01,0.01,15,1793
Sevilla,13261,0.49,0.51,25.22,12,7.48,0.02,0.01,0.01,49,6577
Sevilla,2706,0.50,0.50,18.99,21.51,-8.89,0.01,0.01,0.02,7,1206
Sevilla,12570,0.51,0.49,25,11.7,34.9,0.04,0.01,0.01,48,5123
Sevilla,6503,0.50,0.50,21.53,17.02,2.54,0.02,0.01,0.01,30,2950
Sevilla,2836,0.51,0.49,24.26,15.69,15.24,0.01,0.01,0.01,16,1209
Sevilla,5911,0.50,0.50,21.96,13.89,1.95,0.02,0.01,0.01,19,3354
Sevilla,3858,0.51,0.49,24.36,15.03,1.66,0.01,0.01,0.01,15,1739
Sevilla,27398,0.50,0.50,23.26,13.93,8.87,0.02,0.01,0.01,94,11519
Sevilla,848,0.51,0.49,17.45,19.1,2.05,0.04,0.01,0.00,0,564
Sevilla,19124,0.50,0.50,22,15.81,0.25,0.03,0.01,0.01,60,8870
Sevilla,4604,0.50,0.50,21.07,16.09,1.79,0.02,0.01,0.01,21,2141
Sevilla,296,0.49,0.51,7.09,37.16,-18.01,0.01,0.00,0.02,0,132
Sevilla,23047,0.50,0.50,24.74,12.67,23.18,0.03,0.01,0.01,96,10258
Sevilla,45040,0.49,0.51,24.23,11.29,15.3,0.03,0.01,0.00,200,22095
Sevilla,19773,0.50,0.50,23,16.22,3.58,0.03,0.01,0.01,94,8904
Sevilla,2711,0.51,0.49,20.21,17.45,0.82,0.02,0.01,0.01,10,1600
Sevilla,2733,0.52,0.48,19.8,16.06,-0.15,0.02,0.01,0.01,10,1328
Sevilla,3470,0.51,0.49,23.89,13.08,17.75,0.01,0.01,0.01,7,1457
Sevilla,7050,0.50,0.50,22.75,15.94,0.96,0.01,0.01,0.01,25,3223
Sevilla,28073,0.49,0.51,20.38,17.81,-0.78,0.01,0.01,0.01,125,12137
Sevilla,1629,0.50,0.50,18.17,21.49,-9.2,0.01,0.01,0.02,1,691
Sevilla,9415,0.50,0.50,24.68,13.2,6.82,0.03,0.01,0.01,26,4033
Sevilla,17738,0.50,0.50,22.77,16.13,0.82,0.01,0.01,0.01,66,7606
Sevilla,38173,0.50,0.50,25.36,12.66,8.37,0.02,0.01,0.01,203,15194
Sevilla,8315,0.50,0.50,27.96,9.4,62.56,0.02,0.01,0.01,30,3731
Sevilla,6991,0.50,0.50,21.51,19.24,-0.51,0.02,0.01,0.01,30,3057
Sevilla,5295,0.49,0.51,22.98,15.32,3.1,0.05,0.01,0.01,15,2228
Sevilla,2074,0.49,0.51,18.03,19.38,-9.67,0.02,0.01,0.01,4,897
Sevilla,3697,0.50,0.50,19.56,18.01,-0.59,0.01,0.01,0.01,9,1804
Sevilla,13999,0.51,0.49,24.24,14.39,15.02,0.07,0.01,0.01,41,5769
Sevilla,2664,0.51,0.49,19.86,20.72,-11.38,0.02,0.01,0.01,9,1232
Sevilla,11190,0.50,0.50,22.8,17.07,2.17,0.03,0.01,0.01,49,4824
Sevilla,3071,0.50,0.50,18.98,21.88,-6.71,0.02,0.01,0.01,12,1458
Sevilla,11995,0.50,0.50,22.62,13.77,3.67,0.02,0.01,0.01,42,6141
Sevilla,1575,0.49,0.51,19.62,20.44,-3.79,0.02,0.01,0.01,2,682
Sevilla,38277,0.50,0.50,24.69,11.52,14.7,0.02,0.01,0.01,163,16514
Sevilla,4278,0.50,0.50,20.27,17.37,-2.37,0.03,0.01,0.01,24,2130
Sevilla,1397,0.52,0.48,18.9,20.97,0.36,0.01,0.01,0.01,4,630
Sevilla,3497,0.49,0.51,18.79,19.25,-1.94,0.03,0.01,0.01,11,1935
Sevilla,5498,0.49,0.51,25.54,12.19,25.21,0.03,0.01,0.01,22,2551
Sevilla,21556,0.49,0.51,22.13,16.59,7.13,0.07,0.01,0.01,86,9408
Sevilla,590,0.51,0.49,15.93,20.17,-13.49,0.01,0.01,0.01,0,322
Sevilla,13539,0.50,0.50,23.87,13.73,13.34,0.04,0.01,0.01,67,5901
Sevilla,8442,0.50,0.50,23.5,13.46,9.04,0.03,0.01,0.01,32,3818
Sevilla,4350,0.50,0.50,20.14,19.84,-0.66,0.02,0.01,0.01,14,1994
Sevilla,690566,0.47,0.53,19.89,18.63,-1.97,0.04,0.01,0.01,2543,319027
Sevilla,9689,0.50,0.50,21.12,15.82,5.71,0.02,0.01,0.01,46,4197
Sevilla,24851,0.50,0.50,26.25,11.16,20.02,0.03,0.01,0.00,108,12223
Sevilla,8663,0.50,0.50,27.14,10.56,35.68,0.03,0.01,0.01,41,3481
Sevilla,52674,0.50,0.50,22.62,14.15,9.23,0.02,0.01,0.01,210,21164
Sevilla,7949,0.49,0.51,23.24,13.76,3.91,0.03,0.01,0.01,26,4146
Sevilla,4462,0.49,0.51,23.11,14.57,13.36,0.11,0.01,0.01,12,2047
Sevilla,1202,0.48,0.52,17.72,26.12,-15.35,0.01,0.00,0.02,3,526
Sevilla,6490,0.49,0.51,24.38,13.82,13.38,0.02,0.01,0.01,21,2817
Sevilla,4906,0.50,0.50,19.4,20.91,-5.96,0.02,0.01,0.01,9,2194
Sevilla,7840,0.51,0.49,23.66,13.79,15.63,0.04,0.01,0.01,34,3173
Sevilla,19168,0.50,0.50,24.2,14.3,9.55,0.03,0.01,0.01,66,8414
