Provincia,latitud,longitud
Córdoba,37.707323,-5.099922
Córdoba,37.510168,-4.146198
Córdoba,38.371101,-5.350395
Córdoba,37.757821,-4.943052
Córdoba,38.496163,-4.782843
Córdoba,38.498307,-5.145202
Córdoba,37.830275,-5.249440
Córdoba,37.256641,-4.304680
Córdoba,37.411732,-4.485626
Córdoba,37.557834,-4.279096
Córdoba,37.581365,-4.749567
Córdoba,37.646313,-4.699341
Córdoba,37.584238,-4.640735
Córdoba,38.019018,-4.381506
Córdoba,37.471533,-4.581633
Córdoba,37.435996,-4.607898
Córdoba,37.586734,-4.466915
Córdoba,38.132417,-4.800033
Córdoba,37.247829,-4.582969
Córdoba,37.700173,-5.279463
Córdoba,37.968044,-4.455471
Córdoba,38.427563,-4.763166
Córdoba,38.302203,-5.271575
Córdoba,37.803724,-5.106029
Córdoba,38.378265,-4.847967
Córdoba,37.438866,-4.202767
Córdoba,37.392756,-4.763166
Córdoba,37.608846,-4.735507
Córdoba,37.326311,-4.369261
Córdoba,37.653350,-4.823443
Córdoba,38.596354,-4.904201
Córdoba,37.561800,-4.843775
Córdoba,38.473499,-4.678167
Córdoba,37.776026,-4.220804
Córdoba,38.405128,-5.351169
Córdoba,37.681191,-4.853311
Córdoba,37.982212,-4.291340
Córdoba,37.961145,-4.545321
Córdoba,38.139327,-4.902420
Córdoba,38.322679,-4.626146
Córdoba,38.394097,-4.999135
Córdoba,38.198487,-5.151777
Córdoba,38.454814,-4.983968
Córdoba,38.075449,-5.015833
Córdoba,38.483686,-4.955205
Córdoba,37.543382,-4.314848
Granada,37.030086,-3.829795
Granada,37.581315,-3.244323
Granada,37.228916,-3.650166
Granada,36.827452,-3.212493
Granada,37.227313,-3.134103
Granada,36.791576,-3.202699
Granada,36.928242,-3.628091
Granada,37.159860,-3.071993
Granada,37.237256,-3.565893
Granada,37.325791,-4.155662
Granada,37.004723,-3.989410
Granada,37.108204,-3.643037
Granada,37.609176,-3.138016
Granada,36.902428,-3.300130
Granada,36.735689,-3.697169
Granada,36.982483,-3.155946
Granada,37.179932,-3.114996
Granada,36.958139,-3.893595
Granada,37.144841,-3.621270
Granada,37.220871,-3.691294
Granada,37.488498,-2.773484
Granada,37.218868,-3.480720
