"","x"
"1",21.5466666666667
"2",21.44
"3",21.3266666666667
"4",21.28
"5",21.1266666666667
"6",20.8533333333333
"7",20.5666666666667
"8",20.6266666666667
"9",20.8066666666667
"10",21.02
"11",21.3333333333333
"12",21.9666666666667
"13",22.5466666666667
"14",22.88
"15",23.3066666666667
"16",22.679072769383
"17",22.539072769383
"18",22.5590727693829
"19",23.4245818744924
"20",23.5373627050481
"21",23.9840293717147
"22",24.4440293717147
"23",24.7373627050481
"24",25.1906960383814
"25",25.4373627050481
"26",25.6240293717147
"27",25.7173627050481
"28",25.7906960383814
"29",25.7440293717147
"30",25.8640293717147
"31",27.0716232689984
"32",27.1516232689984
"33",27.4982899356651
"34",27.2127808305556
"35",27.3066666666667
"36",27.1866666666667
"37",27.1466666666667
"38",27.22
"39",27.18
"40",27.3133333333333
"41",27.2466666666667
"42",27.1466666666667
"43",26.9733333333333
"44",27.0866666666667
"45",27.4533333333333
"46",27.56
"47",27.92
"48",28.04
"49",28.0866666666667
"50",28.3866666666667
"51",28.6866666666667
"52",28.96
"53",29.1666666666667
"54",29.3733333333333
"55",29.5533333333333
"56",29.8733333333333
"57",30.1666666666667
"58",30.5933333333333
"59",30.86
"60",30.8333333333333
"61",30.92
"62",30.96
"63",30.9666666666667
"64",31
"65",31.0666666666667
"66",31.2
"67",31.3333333333333
"68",31.3933333333333
"69",30.7706099462239
"70",30.2180867664486
"71",30.1314200997819
"72",30.0380867664486
"73",29.9247534331153
"74",29.9047534331153
"75",29.7847534331153
"76",29.8380867664486
"77",29.8047534331153
"78",29.7914200997819
"79",29.9314200997819
"80",29.5167653351476
"81",28.8209845920288
"82",27.2369778654126
"83",27.1169778654127
"84",27.6797012525221
"85",28.3722244322974
"86",28.4255577656307
"87",27.633379038381
"88",27.7013149976023
"89",27.6413149976023
"90",27.7813149976023
"91",27.7946483309356
"92",27.7613149976023
"93",27.5932678255415
"94",27.6560305515311
"95",27.9773519828321
"96",28.5931327259509
"97",30.0771394525671
"98",29.7771394525671
"99",29.3897354055049
"100",29.0097354055049
"101",28.8230687388382
"102",29.5085807994212
"103",29.3606448402
"104",28.9599907046659
"105",28.7814656247737
"106",28.6214656247737
"107",28.5281322914403
"108",28.6095127968345
"109",28.2067500708448
"110",27.9934167375115
"111",27.8334167375115
"112",27.5467500708448
"113",27.7267500708448
"114",27.6541541179071
"115",27.5941541179071
"116",27.4808207845737
"117",27.3408207845737
"118",27.2674874512404
"119",27.7148082534411
"120",27.7666666666667
"121",27.8733333333333
"122",28.02
"123",27.8266666666667
"124",27.7733333333333
"125",27.76
"126",27.64
"127",27.6466666666667
"128",27.5933333333333
"129",27.9266666666667
"130",28.04
"131",28.0933333333333
"132",28.2333333333333
"133",28.38
"134",28.32
"135",28.3133333333333
"136",28.0333333333333
"137",27.8466666666667
"138",27.92
"139",27.86
"140",27.64
"141",27.5533333333333
"142",27.3733333333333
"143",27.2333333333333
"144",26.8
"145",26.3533333333333
"146",26.3638325420054
"147",25.8511015632852
"148",25.6177682299519
"149",25.7311015632852
"150",25.6044348966186
"151",25.5377682299519
"152",25.3777682299519
"153",25.2377682299519
"154",25.1377682299519
"155",25.2377682299519
"156",24.8201799567246
"157",24.8868466233913
"158",24.9135132900579
"159",25.2668466233913
"160",25.7535132900579
"161",25.7163474147192
"162",25.635745060106
"163",25.275745060106
"164",24.695745060106
"165",24.4224117267727
"166",24.5090783934394
"167",24.4890783934394
"168",24.2290783934394
"169",24.2824117267727
"170",24.4890783934394
"171",24.7666666666667
"172",24.7466666666667
"173",24.36
"174",23.9933333333333
"175",23.7266666666667
"176",23.5066666666667
"177",23.6933333333333
"178",23.66
"179",23.3266666666667
"180",22.6866666666667
"181",21.98
"182",21.3733333333333
"183",21.526068914885
"184",21.2363188472914
"185",20.2496521806248
"186",19.7429855139581
"187",19.0496521806248
"188",18.6696521806248
"189",18.1163188472914
"190",17.2763188472914
"191",16.5963188472914
"192",15.8696521806248
"193",15.1563188472914
"194",15.0763188472914
"195",14.9029855139581
"196",15.0296521806248
"197",15.3229855139581
"198",14.756916599073
"199",14.36
"200",14.6466666666667
"201",14.64
"202",14.7266666666667
"203",14.7866666666667
"204",14.88
"205",15.14
"206",14.9866666666667
"207",15.2066666666667
"208",15.7533333333333
"209",15.5733333333333
"210",15.9533333333333
"211",15.82
"212",15.3466666666667
"213",15.26
"214",15.2
"215",15.093699873328
"216",16.1729418832242
"217",16.8533648002712
"218",16.7866981336045
"219",16.7066981336045
"220",16.9066981336045
"221",17.2733648002712
"222",18.0465496100053
"223",18.7090891257092
"224",18.8157557923758
"225",18.6556874868931
"226",19.6916186765103
"227",20.1649520098436
"228",20.258285343177
"229",20.2449520098436
"230",20.3979188031823
"231",19.5120101266195
"232",18.8115872095725
"233",18.6515872095725
"234",18.5582538762392
"235",18.2982538762392
"236",18.2649205429058
"237",17.2917357331716
"238",16.3158628841345
"239",16.2025295508011
"240",16.2759311896172
"241",15.1
"242",14.6733333333333
"243",14.5933333333333
"244",14.46
"245",14.22
"246",13.7533333333333
"247",13.8133333333333
"248",14.1933333333333
"249",14.8066666666667
"250",15.1866666666667
"251",15.2133333333333
"252",15.3466666666667
"253",15.44
